date,event,venue,setlist
2025-12-29,"Killer Tune SHIBUYA THE LAST Day1","GARRET udagawa","SE;01 ろりぽっぷ!!!!!!!;02 アタックサイン;MC;03 ぽっぽ♪ポジティブ！！;04 むげんの☆Lambie;05 キミノセイ、;06 約束!!!!!!!;MC"
2025-12-30,"アイドルアラモードプチVol.127～2025年末大感謝SP～","WITH HARAJUKU","SE;01 アタックサイン;02 Unknown;03 MY DREAM MY LIFE;04 始まりの宴!!!!!!!;MC"
2025-12-30,"Killer Tune SHIBUYA THE LAST Day2","（会場未記載）","SE;01 主人公;02 HELLO;03 Singularity;04 サクラロード;05 MADOROMI;06 SHINY DAYS;07 END THE WORLD;MC"
2026-01-10,"おまゆ生誕祭","（会場未記載）","SE;01 始まりの宴!!!!!!!;MC;02 HELLO;03 アタックサイン;04 BiSH-星が瞬く夜に-;05 STRAY SHEEP CLAYMORE;06 モーニング娘。Be Alive;MC;07 ぽっぽ♪ポジティブ！！;08 SHINY DAYS;09 ろりぽっぷ!!!!!!!;MC;アンコール;10 主人公!!!!!!!"
2026-01-12,"えみゆか生誕祭","新宿DHNoA","SE;01 ぽっぽ♪ポジティブ！！;02 MY DREAM MY LIFE;03 サクラロード;04 乙女ロック;05 Say Hello!!;06 約束!!!!!!!"
2026-01-12,"はなまるっ Vol.119","渋谷RING","SE;01 約束!!!!!!!;02 キミノセイ、;03 むげんの★ Lambie;04 KAWAIIは正義;05 END THE WORLD;06 Singularity;07 始まりの宴!!!!!!!;MC"
2026-01-17,"GIRLS CIRCUIT","高田馬場","SE;01 ぽっぽ♪ポジティブ!!;02 SHINY DAYS;03 推し事～女の子アイドルオタクあるある〜;04 キミノセイ、"
2026-01-18,"ABC IDOL","横浜","SE;01 アタックサイン;02 乙女ロック;03 始まりの宴!!!!!!!;04 ろりぽっぷ!!!!!!!"
2026-01-21,"SAKURA PARTY vol.1","シアターマーキュリー新宿","SE;01 ろりぽっぷ!!!!!!!;02 始まりの宴!!!!!!!;MC;03 ぽっぽ♪ポジティブ！！;04 乙女ロック;05 サクラロード;06 SHINY DAYS"
2026-01-24,"まう生誕祭2026","アイドルステージ新宿","01 むげんの★ Lambie;02 KAWAIIは正義;MC;03 愛されなくても君がいる;04 鼓動/タイトル未定;MC;05 新世紀ヒットパレード/Appare!;06 キミノセイ、;07 Singularity;08 MADOROMI;09 主人公;MC;アンコール;MY DREAM MY LIFE"
2026-01-25,"CYBER","渋谷RING","01 推し事～女の子アイドルオタクあるある〜;02 乙女ロック;03 始まりの宴!!!!!!!;04 ぽっぽ♪ポジティブ！！;MC"
2026-01-31,"はなまるっ Vol.121","浅草VAMPKIN","SE;01 むげんの★ Lambie;MC;02 Say Hello!!;03 乙女ロック;04 推し事～女の子アイドルオタクあるある〜;MC"
2026-02-01,"ASAKUSA DREAMBOX ～節分スペシャル～","浅草VAMPKIN","01 Singularity;02 Unknown;03 始まりの宴!!!!!!!;04 END THE WORLD;05 約束!!!!!!!;06 SHINY DAYS;MC"
2026-02-01,"はなまるっ Vol.122","渋谷RING","SE;01 キミノセイ、;02 主人公;MC;03 アタックサイン;04 ぽっぽ♪ポジティブ!!;05 ろりぽっぷ!!!!!!!;MC"
